id,title,genre_ids,actors,director,duration
1204892,Picture This,"[10749, 35]","Simone Ashley, Hero Fiennes Tiffin, Sindhu Vee, Luke Fetherston, Nikesh Patel, Adil Ray, Anoushka Chadha, Eben Figueiredo, Kulvinder Ghir, Asim Chaudhry",Prarthana Mohan,100
402431,Wicked,"[18, 10749, 14]","Cynthia Erivo, Ariana Grande, Jeff Goldblum, Michelle Yeoh, Jonathan Bailey, Ethan Slater, Marissa Bode, Peter Dinklage, Andy Nyman, Courtney-Mae Briggs",Jon M. Chu,162
933260,The Substance,"[27, 878]","Demi Moore, Margaret Qualley, Dennis Quaid, Edward Hamilton-Clark, Gore Abrams, Oscar Lesage, Christian Erickson, Robin Greer, Tom Morton, Hugo Diego Garcia",Coralie Fargeat,141
661539,A Complete Unknown,"[18, 10402]","Timothée Chalamet, Edward Norton, Elle Fanning, Monica Barbaro, Scoot McNairy, Dan Fogler, Boyd Holbrook, Will Harrison, Joe Tippett, Eriko Hatsune",James Mangold,140
558449,Gladiator II,"[28, 12, 18]","Paul Mescal, Denzel Washington, Pedro Pascal, Connie Nielsen, Joseph Quinn, Fred Hechinger, Lior Raz, Derek Jacobi, Peter Mensah, Matt Lucas",Ridley Scott,148
1418522,Delicious,"[53, 18]","Valerie Pachner, Fahri Yardım, Carla Díaz, Naila Schuberth, Caspar Hoffmann, Julien de Saint Jean, Sina Martens, Johann von Bülow, Nina Zem, Miveck Packa",Nele Mueller-Stöfen,102
447273,Snow White,"[10751, 14]","Rachel Zegler, Gal Gadot, Emilia Faucher, Andrew Burnap, Andrew Barth Feldman, Tituss Burgess, Martin Klebba, Jason Kravits, George Salazar, Jeremy Swift",Marc Webb,109
939243,Sonic the Hedgehog 3,"[28, 878, 35, 10751]","Jim Carrey, Ben Schwartz, Keanu Reeves, Idris Elba, Colleen O'Shaughnessey, James Marsden, Tika Sumpter, Lee Majdoub, Krysten Ritter, Adam Pally",Jeff Fowler,110
1241982,Moana 2,"[16, 12, 10751, 35]","Auliʻi Cravalho, Dwayne Johnson, Hualālai Chung, Rose Matafeo, David Fane, Awhimai Fraser, Khaleesi Lambert-Tsuda, Temuera Morrison, Nicole Scherzinger, Rachel House",David G. Derrick Jr.,99
974950,Emilia Pérez,"[18, 53]","Karla Sofía Gascón, Zoe Saldaña, Selena Gomez, Adriana Paz, Edgar Ramírez, Mark Ivanir, Eduardo Aladro, Emiliano Hasan, Gaël Murgia-Fur, Tirso Pietriga",Jacques Audiard,132
1405338,Demon City,"[28, 80, 14, 53]","Toma Ikuta, Masahiro Higashide, Miou Tanaka, Ami Touma, Taro Suruga, Mai Kiryu, Naoto Takenaka, Takuma Otoo, Matsuya Onoe, Masanobu Takashima",Seiji Tanaka,106
1221404,Crayon Shin-chan the Movie: Our Dinosaur Diary,"[16, 12, 35, 10751]","Yumiko Kobayashi, Miki Narahashi, Toshiyuki Morikawa, Satomi Korogi, Mari Mashiba, Tamao Hayashi, Teiyu Ichiryusai, Takumi Kitamura, Hatanaka Yū, Shunsuke Ito",Shinobu Sasaki,106
426063,Nosferatu,"[14, 27]","Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård, Aaron Taylor-Johnson, Willem Dafoe, Emma Corrin, Ralph Ineson, Simon McBurney, Adéla Hesová, Milena Konstantinova",Robert Eggers,133
1000837,I'm Still Here,"[18, 36]","Fernanda Torres, Selton Mello, Valentina Herszage, Bárbara Luz, Guilherme Silveira, Cora Ramalho, Luiza Kosovski, Pri Helena, Luiz Bertazzo, Maeve Jinkings",Walter Salles,138
1230208,Squad 36,"[28, 80, 18, 53]","Victor Belmondo, Tewfik Jallab, Soufiane Guerrab, Juliette Dol, Yvan Attal, Nicolas Wanczycki, Ludovic Faure, Lydia Andréï, Jean-Michel Correia, Moussa Mansaly",Olivier Marchal,124
762509,Mufasa: The Lion King,"[12, 10751, 16]","Aaron Pierre, Kelvin Harrison, Jr., Tiffany Boone, Kagiso Lediga, Preston Nyman, Blue Ivy Carter, John Kani, Mads Mikkelsen, Seth Rogen, Billy Eichner",Barry Jenkins,118
1356039,Counterattack,"[28, 12, 53]","Luis Alberti, Noé Hernández, Leonardo Alonso, Luis Curiel, Guillermo Nava, David Calderón León, Mayra Batalla, Israel Islas, Ishbel Bautista, Frida Jiser",Chava Cartas,85
1013850,A Real Pain,"[35, 18]","Jesse Eisenberg, Kieran Culkin, Will Sharpe, Jennifer Grey, Kurt Egyiawan, Liza Sadovy, Daniel Oreskes, Ellora Torchia, Banner Eisenberg, Olha Bosova",Jesse Eisenberg,89
1195631,William Tell,"[28, 18]","Claes Bang, Connor Swindells, Golshifteh Farahani, Jonah Hauer-King, Ellie Bamber, Rafe Spall, Emily Beecham, Jonathan Pryce, Ben Kingsley, Solly McLeod",Nick Hamm,133
940139,Here,[18],"Tom Hanks, Robin Wright, Paul Bettany, Kelly Reilly, Ellis Grunsell, Teddy Russell, Finn Guegan, Callum Macreadie, Lauren McQueen, Grace Lyra",Robert Zemeckis,105
157336,Interstellar,"[12, 18, 878]","Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain, Casey Affleck, Wes Bentley, Topher Grace, Mackenzie Foy, Ellen Burstyn, John Lithgow",Christopher Nolan,169
1124620,The Monkey,"[27, 35]","Theo James, Tatiana Maslany, Christian Convery, Colin O'Brien, Adam Scott, Elijah Wood, Rohan Campbell, Sarah Levy, Osgood Perkins, Nicco Del Rio",Osgood Perkins,98
1078600,Marked Men: Rule + Shaw,"[10749, 18]","Chase Stokes, Sydney Taylor, Ella Balinska, Evan Mock, Alexander Ludwig, Natalie Alyn Lind, Matthew Noszka, Hannah Kepple, Daisy Jelley, Michael Bradway",Nick Cassavetes,93
615453,Ne Zha,"[16, 14, 12]","Lü Yanting, Joseph, Han Mo, Chen Hao, Lü Qi, Yang Wei, Zhang Jiaming, He Yuxiang, Ren Junpeng, Da Hai",Yang Yu,110
693134,Dune: Part Two,"[878, 12]","Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem, Josh Brolin, Austin Butler, Florence Pugh, Dave Bautista, Christopher Walken, Léa Seydoux",Denis Villeneuve,167
1216780,Nadaaniyan,"[10749, 35, 18]","Ibrahim Ali Khan, Khushi Kapoor, Mahima Chaudhry, Suniel Shetty, Dia Mirza, Jugal Hansraj, Apoorva Mukhija, Aaliyah Qureishi, Agastya Shah, Dev Agasteya",Shauna Gautam,119
671,Harry Potter and the Philosopher's Stone,"[12, 14]","Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton, Alan Rickman, Robbie Coltrane, Maggie Smith, Richard Griffiths, Ian Hart",Chris Columbus,152
980477,Ne Zha 2,"[16, 14, 12]","Lü Yanting, Joseph, Han Mo, Chen Hao, Lü Qi, Zhang Jiaming, Yang Wei, Wang Deshun, Yu Chen, Zhou Yongxi",Yang Yu,144
1226406,Love Hurts,"[28, 35, 10749]","Ke Huy Quan, Ariana DeBose, Mustafa Shakir, Lio Tipton, Daniel Wu, Cam Gigandet, Marshawn Lynch, André Eriksen, Rhys Darby, Sean Astin",Jonathan Eusebio,83
1077782,Old Guy,"[28, 35]","Christoph Waltz, Lucy Liu, Cooper Hoffman, Karishma Navekar, Desmond Edwards, Ryan McParland, Ann Akinjirin, Charlie Hamblett, Tamara Chanel White, Jason Done",Simon West,93
604685,Den of Thieves 2: Pantera,"[28, 80, 53]","Gerard Butler, O'Shea Jackson Jr., Evin Ahmad, Salvatore Esposito, Meadow Williams, Swen Temmel, Michael Bisping, Orli Shuka, Rico Verhoeven, Jordan Bridges",Christian Gudegast,144
1195506,Novocaine,"[28, 53, 35]","Jack Quaid, Amber Midthunder, Ray Nicholson, Jacob Batalon, Betty Gabriel, Matt Walsh, Evan Hengst, Conrad Kemp, Jessica Stanley, Dominique Maher",Dan Berk,110
516729,Paddington in Peru,"[10751, 12, 35]","Ben Whishaw, Hugh Bonneville, Emily Mortimer, Samuel Joslin, Madeleine Harris, Antonio Banderas, Olivia Colman, Julie Walters, Jim Broadbent, Carla Tous",Dougal Wilson,106
1126166,Flight Risk,"[28, 53, 80]","Mark Wahlberg, Michelle Dockery, Topher Grace, Leah Remini, Paul Ben-Victor, Maaz Ali, Monib Abhat, Eilise Patton, Senor Pablo, Savanah Joeckel",Mel Gibson,91
11,Star Wars,"[12, 28, 878]","Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse, James Earl Jones",George Lucas,121
22,Pirates of the Caribbean: The Curse of the Black Pearl,"[12, 14, 28]","Johnny Depp, Orlando Bloom, Keira Knightley, Geoffrey Rush, Jack Davenport, Jonathan Pryce, Lee Arenberg, Mackenzie Crook, Damian O'Hare, Giles New",Gore Verbinski,143
1140535,Presence,"[27, 18]","Callina Liang, Lucy Liu, Chris Sullivan, Eddy Maday, Julia Fox, Lucas Papaelias, West Mulholland, Daniel Danielson, Benny Elledge, Natalie Woolams-Torres",Steven Soderbergh,85
438631,Dune,"[878, 12]","Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, Jason Momoa, Stellan Skarsgård, Stephen McKinley Henderson, Josh Brolin, Javier Bardem, Sharon Duncan-Brewster, Chang Chen",Denis Villeneuve,155
335984,Blade Runner 2049,"[878, 18]","Ryan Gosling, Harrison Ford, Ana de Armas, Dave Bautista, Robin Wright, Sylvia Hoeks, Mackenzie Davis, Jared Leto, Carla Juri, Hiam Abbass",Denis Villeneuve,164
972533,Last Breath,"[53, 18]","Woody Harrelson, Simu Liu, Finn Cole, Cliff Curtis, Mark Bonnar, MyAnna Buring, Josef Altin, Bobby Rainsbury, Connor Reed, Nick Biadon",Alex Parkinson,93
1426486,Chaos: The Manson Murders,"[99, 80]",Charles Manson,Errol Morris,96
1212855,Fight or Flight,"[28, 53]","Josh Hartnett, Katee Sackhoff, Marko Zaror, Julian Kostov, Charithra Chandran, JuJu Chan, Sanjeev Kohli, Rebecka Johnston, Nóra Trokán, Sarah Lam",James Madigan,102
1184918,The Wild Robot,"[16, 878, 10751]","Lupita Nyong'o, Pedro Pascal, Kit Connor, Bill Nighy, Stephanie Hsu, Matt Berry, Ving Rhames, Mark Hamill, Catherine O'Hara, Boone Storm",Chris Sanders,102
1224993,Dark Nuns,"[53, 27, 9648, 18]","Song Hye-kyo, Jeon Yeo-been, Lee Jin-uk, Moon Woo-jin, Huh Joon-ho, Kim Kuk-hee, Shin Jae-hwi, Gang Dong-won, Han Dong-hee, Park Jeong-hak",Kwon Hyeok-jae,115
533535,Deadpool & Wolverine,"[28, 35, 878]","Ryan Reynolds, Hugh Jackman, Emma Corrin, Matthew Macfadyen, Dafne Keen, Jon Favreau, Morena Baccarin, Rob Delaney, Leslie Uggams, Jennifer Garner",Shawn Levy,128
539972,Kraven the Hunter,"[28, 12, 53]","Aaron Taylor-Johnson, Ariana DeBose, Fred Hechinger, Alessandro Nivola, Christopher Abbott, Russell Crowe, Yuri Kolokolnikov, Levi Miller, Tom Reed, Billy Barratt",J.C. Chandor,127
1232493,No Other Land,[99],"Basel Adra, Yuval Abraham, Farisa Abu Aram, Nasser Adra, Harun Abu Aram, Kifah Adara",Rachel Szor,96
1233575,Black Bag,"[53, 18]","Michael Fassbender, Cate Blanchett, Marisa Abela, Tom Burke, Naomie Harris, Regé-Jean Page, Pierce Brosnan, Gustaf Skarsgård, Kae Alexander, Martin Bassindale",Steven Soderbergh,94
912649,Venom: The Last Dance,"[28, 878, 12]","Tom Hardy, Chiwetel Ejiofor, Juno Temple, Rhys Ifans, Stephen Graham, Peggy Lu, Clark Backo, Alanna Ubach, Cristo Fernández, Jared Abrahamson",Kelly Marcel,109
774370,Dog Man,"[10751, 16, 35, 28]","Peter Hastings, Pete Davidson, Lil Rel Howery, Isla Fisher, Lucas Hopkins Calderon, Ricky Gervais, Poppy Liu, Stephen Root, Billy Boyd, Luenell",Peter Hastings,89
496243,Parasite,"[35, 53, 18]","Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik, Park So-dam, Lee Jung-eun, Jang Hye-jin, Park Myung-hoon, Jung Ji-so, Jung Hyeon-jun",Bong Joon Ho,133
533535,Deadpool & Wolverine,"[28, 35, 878]","Ryan Reynolds, Hugh Jackman, Emma Corrin, Matthew Macfadyen, Dafne Keen, Jon Favreau, Morena Baccarin, Rob Delaney, Leslie Uggams, Jennifer Garner",Shawn Levy,128
1211472,September 5,"[53, 18, 36]","John Magaro, Leonie Benesch, Peter Sarsgaard, Ben Chaplin, Zinedine Soualem, Georgina Rich, Corey Johnson, Marcus Rutherford, Daniel Adeosun, Benjamin Walker",Tim Fehlbaum,95
271110,Captain America: Civil War,"[12, 28, 878]","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen",Joe Russo,147
9480,Daredevil,"[14, 28]","Ben Affleck, Jennifer Garner, Colin Farrell, Michael Clarke Duncan, Jon Favreau, Scott Terra, Ellen Pompeo, Joe Pantoliano, Leland Orser, Lennie Loftin",Mark Steven Johnson,103
100402,Captain America: The Winter Soldier,"[28, 12, 878]","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford, Sebastian Stan, Anthony Mackie, Cobie Smulders, Frank Grillo, Maximiliano Hernández, Emily VanCamp",Joe Russo,136
1541,Thelma & Louise,"[18, 53, 80, 12]","Susan Sarandon, Geena Davis, Harvey Keitel, Michael Madsen, Christopher McDonald, Stephen Tobolowsky, Brad Pitt, Timothy Carhart, Lucinda Jenney, Jason Beghe",Ridley Scott,130
274,The Silence of the Lambs,"[80, 18, 53]","Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald, Brooke Smith, Diane Baker, Kasi Lemmons, Frankie Faison, Tracey Walter",Jonathan Demme,119
98,Gladiator,"[28, 18, 12]","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris, Derek Jacobi, Djimon Hounsou, David Schofield, John Shrapnel, Tomas Arana",Ridley Scott,155
1232493,No Other Land,[99],"Basel Adra, Yuval Abraham, Farisa Abu Aram, Nasser Adra, Harun Abu Aram, Kifah Adara",Rachel Szor,96
520763,A Quiet Place Part II,"[878, 53, 27]","Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe, Cillian Murphy, Djimon Hounsou, Okieriete Onaodowan, Scoot McNairy, Zachary Golinger, Blake DeLong",John Krasinski,96
1726,Iron Man,"[28, 878, 12]","Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow, Leslie Bibb, Shaun Toub, Faran Tahir, Clark Gregg, Bill Smitrovich, Sayed Badreya",Jon Favreau,126
346698,Barbie,"[35, 12]","Margot Robbie, Ryan Gosling, America Ferrera, Ariana Greenblatt, Issa Rae, Kate McKinnon, Alexandra Shipp, Emma Mackey, Hari Nef, Sharon Rooney",Greta Gerwig,114
1235499,The Last Showgirl,[18],"Pamela Anderson, Jamie Lee Curtis, Dave Bautista, Brenda Song, Kiernan Shipka, Billie Lourd, John Clofine, Jason Schwartzman, Patrick Hilgart, Jesse Phillips",Gia Coppola,88
777443,The Electric State,"[18, 878, 28]","Millie Bobby Brown, Chris Pratt, Woody Harrelson, Ke Huy Quan, Giancarlo Esposito, Stanley Tucci, Anthony Mackie, Brian Cox, Jenny Slate, Woody Norman",Joe Russo,128
1226578,Longlegs,"[80, 27, 53]","Maika Monroe, Nicolas Cage, Blair Underwood, Alicia Witt, Michelle Choi-Lee, Dakota Daulby, Lauren Acala, Kiernan Shipka, Maïla Hosie, Jason William Day",Osgood Perkins,101
1272149,Bridget Jones: Mad About the Boy,"[10749, 35, 18]","Renée Zellweger, Chiwetel Ejiofor, Leo Woodall, Hugh Grant, Jim Broadbent, Gemma Jones, Colin Firth, Sarah Solemani, Josette Simon, Nico Parker",Michael Morris,124
19995,Avatar,"[28, 12, 14, 878]","Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Michelle Rodriguez, Giovanni Ribisi, Joel David Moore, CCH Pounder, Wes Studi, Laz Alonso",James Cameron,162
9502,Kung Fu Panda,"[28, 12, 16, 10751, 35]","Jack Black, Angelina Jolie, Dustin Hoffman, Ian McShane, Jackie Chan, Lucy Liu, Seth Rogen, David Cross, Randall Duk Kim, James Hong",Mark Osborne,90
129,Spirited Away,"[16, 10751, 14]","Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naito, Yasuko Sawaguchi, Tsunehiko Kamijô, Takehiko Ono, Bunta Sugawara, Akio Nakamura, Yumi Tamai",Hayao Miyazaki,125
872585,Oppenheimer,"[18, 36]","Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr., Florence Pugh, Josh Hartnett, Casey Affleck, Rami Malek, Kenneth Branagh, Benny Safdie",Christopher Nolan,181
597,Titanic,"[18, 10749]","Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher, Gloria Stuart, Victor Garber, Bill Paxton, Bernard Hill, David Warner",James Cameron,194
710295,Wolf Man,"[27, 53]","Christopher Abbott, Julia Garner, Matilda Firth, Sam Jaeger, Ben Prendergast, Benedict Hardie, Zac Chandler, Milo Cawthorne, Leigh Whannell, Rob MacBride",Leigh Whannell,103
120,The Lord of the Rings: The Fellowship of the Ring,"[12, 14, 28]","Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Ian Holm, Liv Tyler, Christopher Lee, Sean Bean, Billy Boyd, Dominic Monaghan",Peter Jackson,179
1771,Captain America: The First Avenger,"[28, 12, 878]","Chris Evans, Hayley Atwell, Sebastian Stan, Tommy Lee Jones, Hugo Weaving, Dominic Cooper, Richard Armitage, Stanley Tucci, Samuel L. Jackson, Toby Jones",Joe Johnston,124
9532,Final Destination,[27],"Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke, Seann William Scott, Chad Donella, Amanda Detmer, Tony Todd, Daniel Roebuck, Roger Guenveur Smith",James Wong,98
238,The Godfather,"[18, 80]","Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano, Diane Keaton, Talia Shire, Gianni Russo, Sterling Hayden, John Marley",Francis Ford Coppola,175
354912,Coco,"[10751, 16, 10402, 12]","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renee Victor, Jaime Camil, Alfonso Arau, Herbert Siguenza, Gabriel Iglesias, Lombardo Boyar",Lee Unkrich,105
1724,The Incredible Hulk,"[878, 28, 12]","Edward Norton, Liv Tyler, Tim Roth, William Hurt, Tim Blake Nelson, Ty Burrell, Christina Cabot, Peter Mensah, Lou Ferrigno, Paul Soles",Louis Leterrier,114
102899,Ant-Man,"[878, 28, 12]","Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll, Bobby Cannavale, Anthony Mackie, Judy Greer, Abby Ryder Fortson, Michael Peña, David Dastmalchian",Peyton Reed,117
845781,Red One,"[28, 14, 35]","Dwayne Johnson, Chris Evans, Lucy Liu, J.K. Simmons, Bonnie Hunt, Kristofer Hivju, Kiernan Shipka, Mary Elizabeth Ellis, Wesley Kimmel, Nick Kroll",Jake Kasdan,124
1108427,Moana,"[12, 35, 10751, 14]","Catherine Laga'Aia, Dwayne Johnson, Rena Owen, John Tui, Frankie Adams",Thomas Kail,0
1197306,A Working Man,"[28, 53]","Jason Statham, David Harbour, Michael Peña, Jason Flemyng, Arianna Rivas, Noemi Gonzalez, Emmett Scanlan, Eve Mauro, Maximilian Osinski, Kristina Poli",David Ayer,116
76600,Avatar: The Way of Water,"[878, 12, 28]","Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Kate Winslet, Cliff Curtis, Joel David Moore, CCH Pounder, Edie Falco, Jemaine Clement",James Cameron,192
348,Alien,"[27, 878]","Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton, John Hurt, Ian Holm, Yaphet Kotto, Bolaji Badejo, Helen Horton",Ridley Scott,117
1391385,Uppercut,"[18, 53]","Ving Rhames, Luise Grossmann, Jordan E. Cooper, Joanna Cassidy, Scott Monahan, Andrew Ibach, Lynn Favin, Jaime Wallace, Manny Ayala, Fermin Padilla III",Torsten Rüther,104
986056,Thunderbolts*,"[28, 12]","Florence Pugh, Sebastian Stan, David Harbour, Wyatt Russell, Hannah John-Kamen, Olga Kurylenko, Lewis Pullman, Julia Louis-Dreyfus, Geraldine Viswanathan, Chris Bauer",Jake Schreier,0
324544,In the Lost Lands,"[14, 12, 28]","Milla Jovovich, Dave Bautista, Arly Jover, Amara Okereke, Fraser James, Deirdre Mullins, Sebastian Stankiewicz, Tue Lunding, Jacek Dzisiewicz, Ian Hanmore",Paul W. S. Anderson,102
24428,The Avengers,"[878, 28, 12]","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård",Joss Whedon,143
808,Shrek,"[16, 35, 14, 12, 10751]","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel, Peter Dennis, Clive Pearse, Jim Cummings, Bobby Block, Chris Miller",Andrew Adamson,90
986056,Thunderbolts*,"[28, 12]","Florence Pugh, Sebastian Stan, David Harbour, Wyatt Russell, Hannah John-Kamen, Olga Kurylenko, Lewis Pullman, Julia Louis-Dreyfus, Geraldine Viswanathan, Chris Bauer",Jake Schreier,0
24428,The Avengers,"[878, 28, 12]","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård",Joss Whedon,143
808,Shrek,"[16, 35, 14, 12, 10751]","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel, Peter Dennis, Clive Pearse, Jim Cummings, Bobby Block, Chris Miller",Andrew Adamson,90
1022789,Inside Out 2,"[16, 12, 35, 10751]","Amy Poehler, Maya Hawke, Kensington Tallman, Liza Lapira, Tony Hale, Lewis Black, Phyllis Smith, Ayo Edebiri, Lilimar, Grace Lu",Kelsey Mann,97
1028196,Nickel Boys,[18],"Ethan Herisse, Brandon Wilson, Aunjanue Ellis-Taylor, Hamish Linklater, Gralen Bryant Banks, Fred Hechinger, Jimmie Fails, Luke Tennie, Bryan Gael Guzman, Ethan Cole Sharp",RaMell Ross,140
1425816,Barbie & Teresa: Recipe for Friendship,"[16, 10751, 35]","Tatiana Varria, America Young, Yeni Alvarez, Giselle Fernández, Ren Hanami, Cristina Milizia, Margo Rey, Nicolas Roye, Desirae Whitfield",Karen J. Lloyd,61
238,The Godfather,"[18, 80]","Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano, Diane Keaton, Talia Shire, Gianni Russo, Sterling Hayden, John Marley",Francis Ford Coppola,175
284052,Doctor Strange,"[28, 12, 14]","Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Mads Mikkelsen, Tilda Swinton, Michael Stuhlbarg, Benjamin Bratt, Scott Adkins, Zara Phythian",Scott Derrickson,115
945961,Alien: Romulus,"[27, 878]","Cailee Spaeny, David Jonsson, Archie Renaux, Isabela Merced, Spike Fearn, Aileen Wu, Rosie Ede, Soma Simon, Bence Okeke, Viktor Orizu",Fede Álvarez,119
475557,Joker,"[80, 53, 18]","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham, Bill Camp, Glenn Fleshler, Leigh Gill, Josh Pais",Todd Phillips,122
10494,Perfect Blue,"[16, 53]","Junko Iwao, Rica Matsumoto, Shiho Niiyama, Masaaki Okura, Shinpachi Tsuji, Emiko Furukawa, Yosuke Akimoto, Yoku Shioya, Hideyuki Hori, Emi Shinohara",Satoshi Kon,82
1082195,The Order,"[80, 18, 53]","Jude Law, Nicholas Hoult, Tye Sheridan, Jurnee Smollett, Alison Oliver, Odessa Young, Sebastian Pigott, George Tchortov, Victor Slezak, Phillip Forest Lewitski",Justin Kurzel,116
10193,Toy Story 3,"[16, 10751, 35]","Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Wallace Shawn, John Ratzenberger, Estelle Harris, Blake Clark, Jeff Pidgeon, Ned Beatty",Lee Unkrich,103
1064486,Memoir of a Snail,"[16, 18, 35]","Sarah Snook, Kodi Smit-McPhee, Jacki Weaver, Magda Szubanski, Dominique Pinon, Tony Armstrong, Paul Capsis, Eric Bana, Bernie Clifford, Davey Thompson",Adam Elliot,94
1187417,Rumours,"[35, 27]","Cate Blanchett, Roy Dupuis, Nikki Amuka-Bird, Charles Dance, Takehiro Hira, Denis Ménochet, Rolando Ravello, Zlatko Burić, Alicia Vikander, Alexa Kennedy",Guy Maddin,104
60898,Erotic Ghost Story,"[14, 18, 27]","Amy Yip Chi-Mei, Man Siu, Hitomi Kudô, Pal Sinn Lap-Man, Ha Chi-Chun, Manfred Wong Man-Chun, Lam Chung, Sai Gwa-Pau",Lam Nai-Choi,88
953,Madagascar,"[10751, 16, 12, 35]","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen, Cedric the Entertainer, Andy Richter, Tom McGrath, Christopher Knights, Chris Miller",Eric Darnell,86
